genre_id,movie_id
1,1
2,1
3,1
4,1
5,1
1,2
3,2
5,2
4,3
6,3
4,4
7,4
6,4
4,5
8,6
9,6
10,6
4,7
6,7
1,8
3,8
8,9
8,10
1,10
10,10
4,11
7,11
6,11
4,12
11,12
1,13
2,13
3,13
7,14
8,15
1,15
6,15
9,16
7,16
7,17
6,17
4,18
4,19
8,20
4,20
9,20
7,20
10,20
4,21
9,21
10,21
9,22
7,22
11,22
12,22
10,22
8,23
9,23
10,23
7,24
13,24
7,25
6,25
7,26
3,27
7,27
7,28
6,28
1,29
7,29
5,29
12,29
13,29
9,30
7,30
7,31
12,32
13,32
10,32
3,34
7,34
9,36
7,36
3,38
4,38
4,39
6,39
7,40
7,41
14,41
8,42
9,42
7,42
7,43
8,44
1,44
5,44
4,45
7,45
10,45
7,46
6,46
12,47
10,47
2,48
3,48
7,48
15,48
6,48
7,49
6,49
9,50
12,50
10,50
4,52
7,52
6,52
1,53
7,53
3,54
4,54
7,55
7,57
4,58
7,58
6,58
1,60
3,60
5,60
7,61
10,61
7,62
4,63
9,63
4,64
6,64
4,65
8,66
13,66
10,66
4,68
6,68
4,69
8,70
4,70
11,70
10,70
8,71
4,72
7,72
7,73
14,73
7,74
6,74
4,75
7,75
8,76
13,76
10,76
16,77
8,78
9,78
7,78
10,78
7,79
10,79
3,80
7,80
9,81
7,81
6,81
4,82
7,82
7,83
6,83
7,85
6,85
8,86
1,86
7,86
3,87
4,87
4,88
8,89
10,89
7,92
11,92
10,92
4,93
11,93
6,93
4,94
7,94
6,94
8,95
1,95
10,95
4,96
7,96
9,97
7,97
16,99
7,100
10,100
1,101
4,101
9,101
6,101
4,102
12,103
13,103
10,103
4,104
7,105
6,105
4,106
7,106
1,107
3,107
4,107
15,107
16,108
8,110
7,110
14,110
9,111
7,111
10,111
8,112
1,112
4,112
9,112
7,113
12,113
16,116
9,117
7,117
4,118
6,118
4,119
7,121
4,122
6,122
7,123
12,123
6,123
4,125
1,126
3,126
5,126
16,128
4,129
6,129
10,132
4,135
16,137
7,140
6,140
4,141
4,144
8,145
4,145
9,145
7,145
10,145
1,146
3,146
7,147
7,148
9,149
7,149
10,149
1,150
7,150
17,150
8,151
7,151
6,151
14,151
7,152
11,152
8,153
1,153
4,153
9,153
7,154
1,155
7,155
14,155
4,156
7,156
4,157
14,157
1,158
3,158
9,159
7,159
12,159
8,160
1,160
12,160
13,160
7,161
10,161
14,161
16,162
8,163
6,163
18,163
9,164
19,164
12,164
10,164
8,165
9,165
10,165
4,166
9,166
7,166
8,168
7,168
6,168
1,169
3,169
7,169
8,170
1,170
9,170
10,170
4,171
7,171
8,172
13,172
10,172
8,173
9,173
13,173
4,174
7,175
4,176
11,177
4,178
7,178
7,179
6,179
4,180
6,180
8,181
3,181
4,183
11,183
10,183
7,184
8,185
9,185
10,185
4,186
6,186
4,187
5,188
11,188
12,188
4,189
5,189
10,190
7,191
6,191
7,193
4,194
7,194
4,195
7,195
6,195
11,196
13,196
8,198
9,198
7,198
12,198
13,198
10,198
7,199
15,199
6,199
7,201
5,201
7,202
6,202
4,203
8,204
4,205
7,205
16,206
7,207
6,207
8,208
1,208
13,208
7,209
18,210
7,211
1,212
4,212
9,212
12,212
7,213
7,214
14,214
7,215
6,215
4,216
7,217
10,217
4,218
7,218
7,219
11,220
7,222
6,222
4,223
4,224
7,224
6,224
7,225
10,225
8,227
10,227
4,228
7,229
10,229
7,230
10,230
1,231
4,231
4,232
7,232
6,232
7,233
4,234
4,235
7,235
8,236
4,236
6,236
4,237
6,237
1,238
3,238
2,239
3,239
4,239
6,239
10,240
3,241
7,241
7,242
15,242
3,243
4,243
5,243
16,246
9,247
7,247
4,248
7,249
6,249
3,250
4,250
8,251
4,252
6,252
7,253
11,253
7,254
4,255
4,256
13,256
12,257
10,257
1,258
3,258
4,258
5,258
6,258
9,259
7,259
10,259
8,260
1,260
13,260
7,261
3,262
7,262
7,263
7,265
5,265
6,265
7,266
6,266
14,266
18,266
4,267
7,269
7,270
6,270
7,271
4,272
7,272
7,273
11,273
13,273
4,274
4,275
4,276
6,276
7,277
4,278
7,279
7,280
10,280
4,281
7,281
6,281
7,282
9,283
7,283
8,284
9,284
7,285
11,285
4,287
6,287
8,288
9,288
10,288
4,289
6,289
9,290
7,290
7,291
10,291
8,292
7,292
13,292
10,292
8,293
9,293
7,293
10,293
4,294
6,294
4,295
6,295
4,296
9,296
7,296
10,296
7,298
7,299
7,300
7,301
6,301
7,302
6,302
8,303
10,303
18,303
4,304
7,304
4,305
7,306
7,307
4,308
7,308
4,310
11,311
10,311
4,312
2,313
3,313
3,314
7,314
5,314
12,314
8,315
7,315
10,315
8,316
1,316
13,316
4,317
7,317
5,317
9,318
7,318
4,319
7,319
10,319
19,320
10,320
