userid, openness, agreeableness, emotional_stability, conscientiousness, extraversion, assigned metric, assigned condition, movie_1, predicted_rating_1, movie_2, predicted_rating_2, movie_3, predicted_rating_3, movie_4, predicted_rating_4, movie_5, predicted_rating_5, movie_6, predicted_rating_6, movie_7, predicted_rating_7, movie_8, predicted_rating_8, movie_9, predicted_rating_9, movie_10, predicted_rating_10, movie_11, predicted_rating_11, movie_12, predicted_rating_12, is_personalized, enjoy_watching 
77c7d756a093150d4377720abeaeef76,7.0,4.0,6.0,5.5,4.0,all,default,94959,4.20728005022,1247,4.26653971573,953,4.2113217973,2010,4.40834065512,1234,4.09035821385,5291,4.20242445998,106642,4.11391248186,1209,4.09442221285,56782,4.01959875273,5618,3.96395293757,969,4.17418817166,1232,4.33487681717,2,3
92561f21446e017dd6b68b94b23ad5b7,5.5,5.5,4.0,4.5,4.0,popularity,medium,2905,4.52637147451,2843,4.45645134129,3629,4.66844386088,3022,4.67606689208,3307,4.53035968937,1211,4.29266005029,3462,4.34163421291,5291,4.26116621412,3030,4.42568918883,1281,4.47992090146,940,4.35506136509,905,4.31792673149,3,3
030001ac2145a938b07e686a35a2d638,5.5,5.5,3.5,4.5,2.5,popularity,medium,2905,4.52637147451,2843,4.45645134129,3629,4.66844386088,3022,4.67606689208,3307,4.53035968937,1211,4.29266005029,3462,4.34163421291,5291,4.26116621412,3030,4.42568918883,1281,4.47992090146,940,4.35506136509,905,4.31792673149,2,3
f91b2fb085d0feb47b86fc81b10207ee,6.0,3.0,4.0,3.5,1.5,popularity,medium,2905,4.52637147451,2843,4.45645134129,3629,4.66844386088,3022,4.67606689208,3307,4.53035968937,1211,4.29266005029,3462,4.34163421291,5291,4.26116621412,3030,4.42568918883,1281,4.47992090146,940,4.35506136509,905,4.31792673149,2,4
875afaef12d7872b644948db1bb3040a,2.5,6.5,7.0,7.0,4.0,diversity,low,1263,4.57979113624,1090,4.56186052224,1299,4.69906952729,2329,4.5540502419,4034,4.64103245399,73344,4.70927379236,6016,4.7944689899,1276,4.56542709849,92535,4.57975746504,3424,4.68447865174,56782,4.81108386117,96829,4.59805328248,1,5
a258fd42676ec2550796eeb1b0028ea0,5.5,3.5,3.0,6.5,2.5,serendipity,medium,100556,3.94300269981,52604,4.08553377999,44555,3.61334557958,97172,4.45888394166,101525,3.76382978046,1203,3.6041946523,5995,4.03767266657,904,3.64375584528,104879,4.18706951805,4262,4.61954144314,1193,3.69369237091,55765,4.3079786002,4,4
b6a8cb7e55cbf2c1bde7f2b252203272,5.5,2.0,2.5,6.0,2.5,diversity,low,904,3.97630768956,908,3.91145281588,3801,3.83681705422,5008,3.90822429649,7116,3.78956101167,1219,3.82838822358,1212,3.87898707338,1284,3.87050961682,922,3.9034039773,8228,3.84208582421,1269,3.81361141496,951,3.9349127579,4,4
2d274b0dd0a7fe38bb172aed02270a7c,6.5,5.0,5.5,5.0,5.5,popularity,medium,60069,4.64461357163,2019,4.69604481745,6016,4.6042406312,8368,4.6228997033,1203,4.70830503536,5618,4.72753782084,1035,4.69763879659,953,4.81330028847,1207,4.75995949905,1234,4.72229298541,908,4.71881464306,904,4.76387758638,3,4
428db88497a65655feb825365ad29a4a,7.0,4.0,5.0,5.0,3.5,all,default,1198,5.18850253123,1136,5.19569638287,1196,5.17117218789,112552,5.18012682717,2019,5.16297752299,44555,5.12356415377,1221,5.10151668541,5618,5.09591314691,6016,5.09753750368,34405,5.10190228078,2324,5.07191098414,4973,5.06761907491,4,4
32babaf7d63853c83739e371efba6929,5.0,4.0,2.0,2.5,1.5,all,default,89759,5.00181590327,96606,5.20283718019,48738,4.8235102521,1175,4.80721210385,114028,5.05033572622,105593,4.92324758052,6350,4.62098102428,116138,4.90296897412,93040,4.83878968526,85774,4.62733453537,73881,4.65445603147,95654,4.78608406307,2,2
183a0f30268fa6fda7b3609f8bcf0f44,6.5,2.5,3.5,5.5,4.0,serendipity,medium,1037,4.03813053375,1035,3.70684428076,4728,3.90547309591,4571,3.71170869964,5500,3.90128798362,3608,3.80747521488,1405,4.03508831336,69951,3.86024388328,64285,3.79911166059,1347,4.05437990013,2968,3.74609364297,82667,3.78185705375,2,4
838c3893b7166571c97e796dcaf456d7,6.0,4.0,5.5,4.0,3.5,all,default,2858,5.03362697721,4226,4.99478393587,1193,4.96959020042,48516,5.0104235235,60069,4.96891695075,1198,4.93232689748,2571,4.92338993889,2329,4.9634441355,68157,4.95967390351,1196,4.91328581521,79132,4.90564328862,4011,4.96598912341,4,2
56e60808b468eb5f0845616fe2714974,4.5,5.0,5.0,5.0,3.0,popularity,high,1233,4.36253484727,1201,4.38562574069,1252,4.39592543256,1148,4.53565060123,1230,4.3132876275,1225,4.31662100526,2329,4.32784061045,919,4.34704814811,1617,4.30050114829,1291,4.2841433184,1197,4.44548281153,1198,4.4279617174,3,4
78dca3ab3acdb0ad101245e95332ac68,6.0,3.5,6.0,4.0,3.5,popularity,medium,1273,4.488252334,2731,4.23056989021,3089,4.22082260593,37741,4.19604355687,5152,4.28437542653,88125,4.09228804636,81834,4.19637069774,3980,4.35837069302,1211,4.21708044585,3910,4.2907787333,33660,4.2475635343,1260,4.2972911845,4,4
10ee6ea6bfb79401fc78e92deba3d2ff,5.0,3.5,3.5,5.0,2.0,popularity,medium,1273,4.488252334,2731,4.23056989021,3089,4.22082260593,37741,4.19604355687,5152,4.28437542653,88125,4.09228804636,81834,4.19637069774,3980,4.35837069302,1211,4.21708044585,3910,4.2907787333,33660,4.2475635343,1260,4.2972911845,2,2
dd9a68f52fd23e04592bdf08af807371,5.5,4.5,4.5,5.5,2.0,popularity,high,928,4.28723243262,1275,4.24438144455,1233,4.24418855203,2395,4.2893077765,4034,4.36813618928,509,4.43002559783,2791,4.2335937821,1079,4.21750125526,1222,4.23158437681,17,4.26627557309,750,4.31763738358,32,4.35167960805,4,4
