userId,movieId,tag,timestamp
2,60756,funny,2015-10-24 19:29:54
2,60756,Highly quotable,2015-10-24 19:29:56
2,60756,will ferrell,2015-10-24 19:29:52
2,89774,Boxing story,2015-10-24 19:33:27
2,89774,MMA,2015-10-24 19:33:20
2,89774,Tom Hardy,2015-10-24 19:33:25
2,106782,drugs,2015-10-24 19:30:54
2,106782,Leonardo DiCaprio,2015-10-24 19:30:51
2,106782,Martin Scorsese,2015-10-24 19:30:56
7,48516,way too long,2007-01-25 01:08:45
18,431,Al Pacino,2016-05-01 21:39:25
18,431,gangster,2016-05-01 21:39:09
18,431,mafia,2016-05-01 21:39:15
18,1221,Al Pacino,2016-04-26 19:35:06
18,1221,Mafia,2016-04-26 19:35:03
18,5995,holocaust,2016-02-17 18:57:52
18,5995,true story,2016-02-17 18:57:59
18,44665,twist ending,2016-03-02 19:51:23
18,52604,Anthony Hopkins,2016-03-10 22:58:16
18,52604,courtroom drama,2016-03-10 22:58:31
18,52604,twist ending,2016-03-10 22:58:02
18,88094,britpop,2016-03-08 13:41:40
18,88094,indie record label,2016-03-08 13:43:12
18,88094,music,2016-03-08 13:43:29
18,144210,dumpster diving,2016-02-09 23:26:21
18,144210,Sustainability,2016-02-09 23:27:32
21,1569,romantic comedy,2014-12-28 22:23:33
21,1569,wedding,2014-12-28 22:23:39
21,118985,painter,2014-12-28 22:24:37
21,119141,bloody,2014-12-28 19:12:42
49,109487,black hole,2017-04-25 04:08:26
49,109487,sci-fi,2017-04-25 04:08:52
49,109487,time-travel,2017-04-25 04:09:16
62,2,fantasy,2018-06-12 22:52:09
62,2,magic board game,2018-06-12 22:52:12
62,2,Robin Williams,2018-06-12 22:51:47
62,110,beautiful scenery,2018-06-04 22:49:01
62,110,epic,2018-06-04 22:48:52
62,110,historical,2018-06-04 22:48:43
62,110,inspirational,2018-06-04 22:48:47
62,110,Medieval,2018-06-04 22:48:48
62,110,mel gibson,2018-06-04 22:48:41
62,110,Oscar (Best Cinematography),2018-06-04 22:48:59
62,110,revenge,2018-06-04 22:48:51
62,110,sword fight,2018-06-04 22:48:55
62,410,black comedy,2018-05-06 19:56:47
62,410,Christina Ricci,2018-05-06 19:58:05
62,410,Christopher Lloyd,2018-05-06 19:57:02
62,410,dark comedy,2018-05-06 19:56:50
62,410,family,2018-05-06 19:58:28
62,410,gothic,2018-05-06 19:56:49
62,2023,Al Pacino,2018-05-06 19:58:48
62,2023,Andy Garcia,2018-05-06 19:59:28
62,2023,Classic,2018-05-06 19:59:12
62,2023,Francis Ford Coppola,2018-05-06 19:59:12
62,2023,mafia,2018-05-06 19:58:53
62,2124,black comedy,2018-05-06 20:00:47
62,2124,Christina Ricci,2018-05-06 20:01:07
62,2124,Christopher Lloyd,2018-05-06 20:00:59
62,2124,Family,2018-05-06 20:00:55
62,2124,gothic,2018-05-06 20:00:49
62,2124,quirky,2018-05-06 20:00:46
62,2953,family,2018-05-06 20:01:23
62,2953,funny,2018-05-06 20:01:25
62,2953,Macaulay Culkin,2018-05-06 20:01:30
62,2953,sequel,2018-05-06 20:01:27
62,3114,animation,2018-05-06 20:01:43
62,3114,Disney,2018-05-06 20:01:42
62,3114,funny,2018-05-06 20:01:53
62,3114,original,2018-05-06 20:01:57
62,3114,Pixar,2018-05-06 20:01:41
62,3114,sequel,2018-05-06 20:01:50
62,3114,Tom Hanks,2018-05-06 20:02:05
62,3578,ancient Rome,2018-06-04 22:48:24
62,3578,Epic,2018-06-04 22:47:49
62,3578,history,2018-06-04 22:47:47
62,3578,imdb top 250,2018-06-04 22:48:18
62,3578,revenge,2018-06-04 22:48:16
62,3578,Rome,2018-06-04 22:47:43
62,3578,Russell Crowe,2018-06-04 22:47:45
62,4223,Ed Harris,2018-06-03 11:21:09
62,4223,Jude Law,2018-06-03 11:20:54
62,4223,Rachel Weisz,2018-06-03 11:21:13
62,4223,sniper,2018-06-03 11:20:52
62,4223,World War II,2018-06-03 11:21:17
62,5388,Al Pacino,2018-06-29 22:20:09
62,5388,atmospheric,2018-06-29 22:22:39
62,5388,Hilary Swank,2018-06-29 22:22:32
62,5388,Robin Williams,2018-06-29 22:20:11
62,6058,sequel,2018-05-05 21:17:33
62,6058,violent,2018-05-05 21:17:31
62,6534,dogs,2018-05-05 21:01:36
62,6534,Eric Bana,2018-05-05 21:01:26
62,6534,mad scientist,2018-05-05 21:01:38
62,6534,marvel,2018-05-05 21:01:40
62,6541,captain nemo,2018-05-05 21:00:54
62,6541,comic book,2018-05-05 21:00:28
62,6541,gothic,2018-05-05 21:00:56
62,6541,Peta Wilson,2018-05-05 21:00:40
62,6541,Sean Connery,2018-05-05 21:00:26
62,6541,superhero,2018-05-05 21:00:51
62,6564,adventure,2018-05-05 21:07:19
62,6564,Angelina Jolie,2018-05-05 21:07:12
62,6564,heroine in tight suit,2018-05-05 21:07:21
