userId,movieId,rating,timestamp
1,1,4.0,2000-07-30 18:45:03
1,3,4.0,2000-07-30 18:20:47
1,6,4.0,2000-07-30 18:37:04
1,47,5.0,2000-07-30 19:03:35
1,50,5.0,2000-07-30 18:48:51
1,70,3.0,2000-07-30 18:40:00
1,101,5.0,2000-07-30 18:14:28
1,110,4.0,2000-07-30 18:36:16
1,151,5.0,2000-07-30 19:07:21
1,157,5.0,2000-07-30 19:08:20
1,163,5.0,2000-07-30 19:00:50
1,216,5.0,2000-07-30 18:20:08
1,223,3.0,2000-07-30 18:16:25
1,231,5.0,2000-07-30 18:19:39
1,235,4.0,2000-07-30 18:15:08
1,260,5.0,2000-07-30 18:28:00
1,296,3.0,2000-07-30 18:49:27
1,316,3.0,2000-07-30 18:38:30
1,333,5.0,2000-07-30 18:19:39
1,349,4.0,2000-07-30 18:42:43
1,356,4.0,2000-07-30 18:16:02
1,362,5.0,2000-07-30 18:43:08
1,367,4.0,2000-07-30 18:28:30
1,423,3.0,2000-07-30 18:39:23
1,441,4.0,2000-07-30 18:14:28
1,457,5.0,2000-07-30 18:31:49
1,480,4.0,2000-07-30 18:39:06
1,500,3.0,2000-07-30 18:20:08
1,527,5.0,2000-07-30 19:06:42
1,543,4.0,2000-07-30 18:19:39
1,552,4.0,2000-07-30 18:44:13
1,553,5.0,2000-07-30 19:09:13
1,590,4.0,2000-07-30 18:42:26
1,592,4.0,2000-07-30 18:37:51
1,593,4.0,2000-07-30 19:03:13
1,596,5.0,2000-07-30 18:47:18
1,608,5.0,2000-07-30 18:48:51
1,648,3.0,2000-07-30 18:42:43
1,661,5.0,2000-07-30 18:47:18
1,673,3.0,2000-07-30 18:29:35
1,733,4.0,2000-07-30 18:40:00
1,736,3.0,2000-07-30 18:44:13
1,780,3.0,2000-07-30 19:08:06
1,804,4.0,2000-07-30 18:08:19
1,919,5.0,2000-07-30 18:41:15
1,923,5.0,2000-07-30 18:25:29
1,940,5.0,2000-07-30 18:36:16
1,943,4.0,2000-07-30 19:00:14
1,954,5.0,2000-07-30 18:53:39
1,1009,3.0,2000-07-30 18:29:35
1,1023,5.0,2000-07-30 18:44:41
1,1024,5.0,2000-07-30 18:47:56
1,1025,5.0,2000-07-30 18:46:31
1,1029,5.0,2000-07-30 18:47:35
1,1030,3.0,2000-07-30 18:48:23
1,1031,5.0,2000-07-30 18:44:13
1,1032,5.0,2000-07-30 18:46:31
1,1042,4.0,2000-07-30 18:19:39
1,1049,5.0,2000-07-30 18:40:00
